trade_id,signal_id,signal_type,entry_date,exit_date,direction,entry_price,exit_price,lots,lot_size,notional_entry,notional_exit,gross_pnl,costs,net_pnl,net_pnl_pct,equity_before,equity_after,exit_reason,days_held,regime,vix_at_entry,adx_at_entry,rsi_at_entry,overlay_modifier,overlay_detail,conviction_score,day_of_week,month,year,max_favorable,max_adverse,is_synthetic,structural_confidence,structural_strength
744,GUJRAL_DRY_8,DAILY,2025-09-03,2025-09-25,LONG,24715.05,24890.85,1,25,617876,622271,4395,1117,3278,0.531,2682739,2686016,RULE,16,TRANSITIONAL,10.9,23.8,48.5,1.0,,0.5,2,9,2025,0.0,0.0,False,0.0,
745,KAUFMAN_DRY_16,DAILY,2025-09-22,2025-09-26,LONG,25202.35,24698.3,1,25,630059,617458,-12601,1123,-13724,-2.178,2686016,2672292,SL,4,TRANSITIONAL,10.6,21.2,58.2,1.0,,0.5,0,9,2025,0.0,0.0,False,0.0,
746,KAUFMAN_DRY_16,DAILY,2025-09-30,2025-10-06,SHORT,24611.1,25077.65,1,25,615278,626941,-11664,1119,-12783,-2.078,2672292,2659509,RULE,3,RANGE_BOUND,11.1,19.7,38.1,1.0,,0.5,1,9,2025,0.0,0.0,False,0.0,
747,KAUFMAN_DRY_20,DAILY,2025-10-06,2025-10-14,LONG,25077.65,25145.5,1,25,626941,628638,1696,1130,566,0.09,2659509,2660075,RULE,6,RANGE_BOUND,10.2,17.6,55.3,1.0,,0.5,0,10,2025,0.0,0.0,False,0.0,
748,KAUFMAN_DRY_16,DAILY,2025-10-14,2025-10-27,LONG,25145.5,25899.87,1,25,628638,647497,18859,1149,17710,2.817,2660075,2677786,TP,8,RANGE_BOUND,11.2,16.1,55.1,1.0,,0.5,1,10,2025,0.0,0.0,False,0.0,
749,KAUFMAN_DRY_20,DAILY,2025-10-27,2025-10-30,LONG,25966.05,25877.85,1,25,649151,646946,-2205,1165,-3370,-0.519,2677786,2674415,RULE,3,TRENDING_UP,11.9,26.0,71.5,1.0,,0.5,0,10,2025,0.0,0.0,False,0.0,
750,GUJRAL_DRY_8,DAILY,2025-10-06,2025-11-04,LONG,25077.65,25597.65,1,25,626941,639941,13000,1141,11859,1.892,2674415,2686275,MAX_HOLD,20,RANGE_BOUND,10.2,17.6,55.3,1.0,,0.5,0,10,2025,0.0,0.0,False,0.0,
751,KAUFMAN_DRY_12,DAILY,2025-11-04,2025-11-14,LONG,25597.65,25910.05,1,25,639941,647751,7810,1158,6652,1.039,2686275,2692926,TIME,7,TRENDING_UP,12.6,25.1,52.8,1.0,,0.5,1,11,2025,0.0,0.0,False,0.0,
752,KAUFMAN_DRY_16,DAILY,2025-10-30,2025-11-21,LONG,25877.85,26068.15,1,25,646946,651704,4758,1168,3590,0.555,2692926,2696516,MAX_HOLD,15,TRENDING_UP,12.1,28.4,64.1,1.0,,0.5,3,10,2025,0.0,0.0,False,0.0,
753,KAUFMAN_DRY_20,DAILY,2025-11-14,2025-11-24,LONG,25910.05,25959.5,1,25,647751,648988,1236,1166,70,0.011,2696516,2696587,RULE,6,RANGE_BOUND,11.9,19.1,62.2,1.0,,0.5,4,11,2025,0.0,0.0,False,0.0,
754,KAUFMAN_DRY_12,DAILY,2025-11-21,2025-12-02,LONG,26068.15,26032.2,1,25,651704,650805,-899,1171,-2069,-0.318,2696587,2694517,TIME,7,TRANSITIONAL,13.6,20.3,61.9,1.0,,0.5,4,11,2025,0.0,0.0,False,0.0,
755,GUJRAL_DRY_8,DAILY,2025-11-24,2025-12-08,LONG,25959.5,25960.55,1,25,648988,649014,26,1167,-1141,-0.176,2694517,2693377,RULE,10,RANGE_BOUND,13.2,19.9,57.4,1.0,,0.5,0,11,2025,0.0,0.0,False,0.0,
756,KAUFMAN_DRY_16,DAILY,2025-12-02,2025-12-10,LONG,26032.2,25758.0,1,25,650805,643950,-6855,1164,-8019,-1.232,2693377,2685358,RULE,6,RANGE_BOUND,11.2,19.8,55.4,1.0,,0.5,1,12,2025,0.0,0.0,False,0.0,
757,KAUFMAN_DRY_20,DAILY,2025-12-12,2025-12-16,LONG,26046.95,25860.1,1,25,651174,646502,-4671,1166,-5838,-0.896,2685358,2679520,RULE,2,RANGE_BOUND,10.1,13.7,54.4,1.0,,0.5,4,12,2025,0.0,0.0,False,0.0,
758,KAUFMAN_DRY_20,DAILY,2025-12-19,2025-12-26,LONG,25966.4,26042.3,1,25,649160,651058,1897,1169,729,0.112,2679520,2680249,RULE,4,RANGE_BOUND,9.5,12.3,52.1,1.0,,0.5,4,12,2025,0.0,0.0,False,0.0,
759,GUJRAL_DRY_8,DAILY,2025-12-26,2025-12-29,LONG,26042.3,25942.1,1,25,651058,648552,-2505,1168,-3673,-0.564,2680249,2676576,RULE,1,RANGE_BOUND,9.1,11.6,53.0,1.0,,0.5,4,12,2025,0.0,0.0,False,0.0,
760,KAUFMAN_DRY_16,DAILY,2025-12-12,2026-01-05,LONG,26046.95,26250.3,1,25,651174,656258,5084,1175,3909,0.6,2676576,2680484,MAX_HOLD,15,RANGE_BOUND,10.1,13.7,54.4,1.0,,0.5,4,12,2025,0.0,0.0,False,0.0,
761,KAUFMAN_DRY_20,DAILY,2025-12-31,2026-01-07,LONG,26129.6,26140.75,1,25,653240,653519,279,1174,-896,-0.137,2680484,2679589,RULE,5,RANGE_BOUND,9.5,10.9,56.1,1.0,,0.5,2,12,2025,0.0,0.0,False,0.0,
762,KAUFMAN_DRY_16,DAILY,2026-01-07,2026-01-08,LONG,26140.75,25876.85,1,25,653519,646921,-6598,1169,-7766,-1.188,2679589,2671823,RULE,1,RANGE_BOUND,9.9,12.1,54.0,1.0,,0.5,2,1,2026,0.0,0.0,False,0.0,
