month,trades,wins,win_rate,net_pnl,gross_pnl,costs
2024-06,6,2,33.3,-4111,2408,6519
2024-07,4,3,75.0,46087,50493,4406
2024-08,9,3,33.3,-33749,-23814,9937
2024-09,5,3,60.0,31224,36915,5691
2024-10,7,2,28.6,-7790,109,7901
2024-11,8,2,25.0,-30797,-22130,8666
2024-12,6,2,33.3,-15054,-8498,6555
2025-01,6,2,33.3,-2287,4135,6419
2025-02,8,4,50.0,10166,18548,8381
2025-03,6,2,33.3,-6421,-258,6163
2025-04,9,5,55.6,59464,68990,9527
2025-05,6,4,66.7,33029,39677,6650
2025-06,5,1,20.0,-18050,-12457,5594
2025-07,5,1,20.0,-25421,-19748,5673
2025-08,7,3,42.9,-16942,-9142,7799
2025-09,6,3,50.0,-16421,-9703,6720
2025-10,4,2,50.0,2123,6686,4563
2025-11,4,4,100.0,22171,26804,4633
2025-12,6,1,16.7,-20011,-13007,7005
2026-01,5,2,40.0,2900,8728,5828
2026-02,8,3,37.5,-19093,-9895,9198
2026-03,5,4,80.0,51132,56661,5530
