date,equity
2016-05-25,4729342.500000001
2016-05-26,4777462.500000001
2016-05-27,4777462.500000001
2016-05-30,4777462.500000001
2016-05-31,4856282.500000001
2016-06-01,4855290.000000001
2016-06-02,4855290.000000001
2016-06-03,4855290.000000001
2016-06-06,4933161.250000001
2016-06-07,4903671.250000001
2016-06-08,4904826.250000001
2016-06-09,4902178.750000002
2016-06-10,4922308.750000002
2016-06-13,4925281.250000002
2016-06-14,4925281.250000002
2016-06-15,4896481.250000002
2016-06-16,4891981.250000002
2016-06-17,4885355.000000002
2016-06-21,4885355.000000002
2016-06-22,4902942.500000003
2016-06-23,4902942.500000003
2016-06-24,4865502.500000003
2016-06-27,4865502.500000003
2016-06-28,4865502.500000003
2016-06-29,4865502.500000003
2016-06-30,4865502.500000003
2016-07-01,4865502.500000003
2016-07-04,4883716.250000003
2016-07-05,5036870.000000003
2016-07-07,5036577.500000003
2016-07-08,5027162.500000003
2016-07-11,4985983.750000003
2016-07-12,4985983.750000003
2016-07-13,4995013.750000003
2016-07-14,4974446.250000003
2016-07-15,4996041.250000003
2016-07-18,5016036.250000003
2016-07-19,5013058.750000003
2016-07-20,5013058.750000003
2016-07-21,4992623.750000003
2016-07-22,4987181.250000003
2016-07-25,4968348.750000003
2016-07-26,4977002.500000003
2016-07-27,4975745.000000003
2016-07-28,4975745.000000003
2016-07-29,4976440.000000003
2016-08-01,4982177.500000003
2016-08-02,4984902.500000003
2016-08-03,4959932.500000003
2016-08-04,5006537.500000003
2016-08-05,4933930.000000003
2016-08-08,4933930.000000003
2016-08-09,4926212.500000004
2016-08-10,4886465.000000004
2016-08-11,4877618.750000004
2016-08-12,4877923.750000004
2016-08-16,4862383.750000004
2016-08-17,4862383.750000004
2016-08-18,4846266.250000004
2016-08-19,4846266.250000004
2016-08-22,4822956.250000004
2016-08-23,4824153.750000004
2016-08-24,4820452.500000004
2016-08-25,4775867.500000005
2016-08-26,4775867.500000005
2016-08-29,4767963.750000005
2016-08-30,4772258.750000005
2016-08-31,4772258.750000005
2016-09-01,4856223.750000004
2016-09-02,4850973.750000004
2016-09-06,4831108.750000004
2016-09-07,4847353.750000004
2016-09-08,4844762.500000004
2016-09-09,4892527.500000005
2016-09-12,4911490.000000005
2016-09-14,4932505.000000005
2016-09-15,4932505.000000005
2016-09-16,4935167.500000005
2016-09-19,4935167.500000005
2016-09-20,4955467.500000005
2016-09-21,4955467.500000005
2016-09-22,4955467.500000005
2016-09-23,4964300.000000004
2016-09-26,4947943.750000004
2016-09-27,4947943.750000004
2016-09-28,4959748.750000004
2016-09-29,4936663.750000004
2016-09-30,4936663.750000004
2016-10-03,4939837.500000004
2016-10-04,4947737.500000004
2016-10-05,4966385.000000004
2016-10-06,4970445.000000004
2016-10-07,4964621.250000004
2016-10-10,4970772.500000004
2016-10-13,4896555.000000005
2016-10-14,4896555.000000005
2016-10-17,4896371.250000005
2016-10-18,4874036.250000005
2016-10-19,4872626.250000005
2016-10-20,4880193.750000005
2016-10-21,4884385.000000005
2016-10-24,4881602.500000005
2016-10-25,4878470.000000005
2016-10-26,4853567.500000005
2016-10-27,4853567.500000005
2016-10-28,4849586.250000005
2016-11-01,4847530.000000005
2016-11-02,4770030.000000005
2016-11-03,4761651.250000005
2016-11-04,4760371.250000005
2016-11-07,4782652.500000005
2016-11-08,4796280.000000005
2016-11-09,4730931.250000006
2016-11-10,4735618.750000006
2016-11-11,4467436.250000005
2016-11-15,4462740.000000005
2016-11-16,4462740.000000005
2016-11-17,4462740.000000005
2016-11-18,4462740.000000005
2016-11-21,4459115.000000005
2016-11-22,4495015.000000005
2016-11-23,4495015.000000005
2016-11-24,4495015.000000005
2016-11-25,4498735.000000005
2016-11-28,4498735.000000005
2016-11-29,4498735.000000005
2016-11-30,4498735.000000005
2016-12-01,4583230.000000004
2016-12-02,4524387.500000004
2016-12-05,4557511.250000004
2016-12-06,4558951.250000004
2016-12-07,4501163.750000005
2016-12-08,4425143.750000005
2016-12-09,4426261.250000005
2016-12-12,4266711.250000005
2016-12-13,4242486.250000005
2016-12-14,4216908.750000005
2016-12-15,4216187.500000005
2016-12-16,4216895.000000005
2016-12-19,4213958.750000005
2016-12-20,4213410.000000005
2016-12-21,4213410.000000005
2016-12-22,4213410.000000005
2016-12-23,4305286.250000005
2016-12-26,4301411.250000005
2016-12-27,4280481.250000005
2016-12-28,4280631.250000005
2016-12-29,4280631.250000005
2016-12-30,4283481.250000005
2017-01-02,4283481.250000005
2017-01-03,4278700.000000005
2017-01-04,4278700.000000005
2017-01-05,4276617.500000005
2017-01-06,4375868.750000004
2017-01-09,4375868.750000004
2017-01-10,4485091.250000004
2017-01-11,4485091.250000004
2017-01-12,4484427.500000004
2017-01-13,4551648.750000004
2017-01-16,4550715.000000004
2017-01-17,4585628.750000005
2017-01-18,4686898.750000005
2017-01-19,4686898.750000005
2017-01-20,4659838.750000005
2017-01-23,4634548.750000005
2017-01-24,4632441.250000005
2017-01-25,4626888.750000005
2017-01-27,4625926.250000005
2017-01-30,4807076.250000005
2017-01-31,4837905.000000005
2017-02-01,4748722.500000005
2017-02-02,4748276.250000005
2017-02-03,4748108.750000005
2017-02-06,4743151.250000005
2017-02-07,4795051.250000005
2017-02-08,4795013.750000005
2017-02-09,4795013.750000005
2017-02-10,4795626.250000005
2017-02-13,4795626.250000005
2017-02-14,4804301.250000005
2017-02-15,4848586.250000005
2017-02-16,4862096.250000005
2017-02-17,4816873.750000005
2017-02-20,4844186.250000005
2017-02-21,4844186.250000005
2017-02-22,4844186.250000005
2017-02-23,4844186.250000005
2017-02-27,4919443.750000005
2017-02-28,4919216.250000005
2017-03-01,4866806.2500000065
2017-03-02,4797731.250000007
2017-03-03,4797841.250000007
2017-03-06,4733041.2500000065
2017-03-07,4724766.250000006
2017-03-08,4719635.000000006
2017-03-09,4728952.500000006
2017-03-10,4727670.000000006
2017-03-14,4727670.000000006
2017-03-15,4874048.750000006
2017-03-16,4841321.250000005
2017-03-17,4841321.250000005
2017-03-20,4873872.500000005
2017-03-21,4874140.000000005
2017-03-22,4874140.000000005
2017-03-23,4911001.250000006
2017-03-24,4911001.250000006
2017-03-27,4828801.250000008
2017-03-28,4772856.25000001
2017-03-29,4775321.25000001
2017-03-30,4775321.25000001
2017-03-31,4809972.50000001
2017-04-03,4809972.50000001
2017-04-05,4809972.50000001
2017-04-06,4886518.750000011
2017-04-07,4971971.250000011
2017-04-10,4972813.750000011
2017-04-11,4928045.000000011
2017-04-12,4921335.000000011
2017-04-13,4866143.75000001
2017-04-17,4866143.75000001
2017-04-18,4888115.00000001
2017-04-19,4888115.00000001
2017-04-20,4906015.000000011
2017-04-21,4880515.000000011
2017-04-24,4834101.25000001
2017-04-25,4834101.25000001
2017-04-26,4834101.25000001
2017-04-27,4843416.25000001
2017-04-28,4934773.750000008
2017-05-02,4930142.500000008
2017-05-03,4914040.00000001
2017-05-04,4892660.000000011
2017-05-05,4752785.00000001
2017-05-08,4739128.75000001
2017-05-09,4724142.500000009
2017-05-10,4728805.000000009
2017-05-11,4727041.250000009
2017-05-12,4774100.000000009
2017-05-15,4754075.000000009
2017-05-16,4756858.750000009
2017-05-17,4793016.250000009
2017-05-18,4723127.50000001
2017-05-19,4723127.50000001
2017-05-22,4718430.00000001
2017-05-23,4698892.50000001
2017-05-24,4700055.00000001
2017-05-25,4632915.00000001
2017-05-26,4630781.25000001
2017-05-29,4630781.25000001
2017-05-30,4630781.25000001
2017-05-31,4639143.75000001
2017-06-01,4687258.75000001
2017-06-02,4670428.75000001
2017-06-05,4670428.75000001
2017-06-06,4748180.00000001
2017-06-07,4746842.50000001
2017-06-08,4725647.50000001
2017-06-09,4714893.75000001
2017-06-12,4682487.50000001
2017-06-13,4686762.50000001
2017-06-14,4686018.75000001
2017-06-15,4686018.75000001
2017-06-16,4677268.75000001
2017-06-19,4677268.75000001
2017-06-20,4673623.750000011
2017-06-21,4694618.750000012
2017-06-22,4685573.750000012
2017-06-23,4683350.000000012
2017-06-27,4681761.250000012
2017-06-28,4681761.250000012
2017-06-29,4772240.000000012
2017-06-30,4777188.750000012
2017-07-03,4785708.750000012
2017-07-04,4801878.750000012
2017-07-05,4799448.750000012
2017-07-06,4802511.250000012
2017-07-07,4816438.750000012
2017-07-10,4800651.250000012
2017-07-11,4803657.500000012
2017-07-12,4803657.500000012
2017-07-13,4803657.500000012
2017-07-14,4820952.500000012
2017-07-17,4812072.500000012
2017-07-18,4824176.250000012
2017-07-19,4820553.750000012
2017-07-20,4796883.750000011
2017-07-21,4779055.000000011
2017-07-24,4764403.750000011
2017-07-25,4764403.750000011
2017-07-26,4763001.250000011
2017-07-27,4763001.250000011
2017-07-28,4859671.250000011
2017-07-31,4833066.250000011
2017-08-01,4832127.500000011
2017-08-02,4915962.500000011
2017-08-03,4895553.750000011
2017-08-04,4875596.250000011
2017-08-07,4870871.250000011
2017-08-08,4822661.250000011
2017-08-09,4818702.500000011
2017-08-10,4816507.500000011
2017-08-11,4932345.000000011
2017-08-14,4935860.000000011
2017-08-16,4935860.000000011
2017-08-17,4935860.000000011
2017-08-18,4994247.500000011
2017-08-21,4983866.250000011
2017-08-22,4982186.250000011
2017-08-23,4989267.500000011
2017-08-24,4989267.500000011
2017-08-28,4989267.500000011
2017-08-29,4964163.750000011
2017-08-30,4966372.500000011
2017-08-31,4968047.500000011
2017-09-01,4968047.500000011
2017-09-04,4980850.000000011
2017-09-05,4974947.500000011
2017-09-06,4970171.250000011
2017-09-07,4970856.250000011
2017-09-08,4972326.250000011
2017-09-11,4974107.500000011
2017-09-12,4974107.500000011
2017-09-13,5003157.500000011
2017-09-14,5005165.000000011
2017-09-15,5005165.000000011
2017-09-18,5001780.000000011
2017-09-19,5000947.500000011
2017-09-20,5001267.500000011
2017-09-21,5008672.500000011
2017-09-22,5023496.250000011
2017-09-25,5023496.250000011
2017-09-26,5023468.750000011
2017-09-27,5135920.000000011
2017-09-28,5137580.000000011
2017-09-29,5138562.500000011
2017-10-03,5138562.500000011
2017-10-04,5145860.000000011
2017-10-05,5153015.000000011
2017-10-06,5159936.250000011
2017-10-09,5159936.250000011
2017-10-10,5159936.250000011
2017-10-11,5173023.75000001
2017-10-12,5150703.75000001
2017-10-13,5150703.75000001
2017-10-16,5150703.75000001
2017-10-17,5150703.75000001
2017-10-18,5213651.25000001
2017-10-19,5252858.75000001
2017-10-23,5248071.25000001
2017-10-24,5248071.25000001
2017-10-25,5248071.25000001
2017-10-26,5248071.25000001
2017-10-27,5306833.750000009
2017-10-30,5300743.750000009
2017-10-31,5292238.750000009
2017-11-01,5260678.750000009
2017-11-02,5253163.750000009
2017-11-03,5248858.750000009
2017-11-06,5248753.750000009
2017-11-07,5271841.250000009
2017-11-08,5274191.250000009
2017-11-09,5292047.500000009
2017-11-10,5292367.500000009
2017-11-13,5279767.500000009
2017-11-14,5278808.750000009
2017-11-15,5277095.000000009
2017-11-16,5282572.500000009
2017-11-17,5286711.250000009
2017-11-20,5286711.250000009
2017-11-21,5286711.250000009
2017-11-22,5286711.250000009
2017-11-23,5286711.250000009
2017-11-24,5294668.750000009
2017-11-27,5322388.750000009
2017-11-28,5366841.250000009
2017-11-29,5367288.750000009
2017-11-30,5342397.500000009
2017-12-01,5342397.500000009
2017-12-04,5377578.750000009
2017-12-05,5377578.750000009
2017-12-06,5375725.000000009
2017-12-07,5390012.500000009
2017-12-08,5390012.500000009
2017-12-11,5390012.500000009
2017-12-12,5437755.000000008
2017-12-13,5432511.250000008
2017-12-14,5432511.250000008
2017-12-15,5436568.750000008
2017-12-18,5436568.750000008
2017-12-19,5436568.750000008
2017-12-20,5527816.250000008
2017-12-21,5528011.250000008
2017-12-22,5520106.250000008
2017-12-26,5528161.250000008
2017-12-27,5514917.500000008
2017-12-28,5545410.000000008
2017-12-29,5536777.500000008
2018-01-01,5502883.750000007
2018-01-02,5502218.750000007
2018-01-03,5501071.250000007
2018-01-04,5501071.250000007
2018-01-05,5501071.250000007
2018-01-08,5501071.250000007
2018-01-09,5514291.250000007
2018-01-10,5565251.250000008
2018-01-11,5562401.250000008
2018-01-12,5564853.750000008
2018-01-15,5564853.750000008
2018-01-16,5636120.000000009
2018-01-17,5618500.000000009
2018-01-18,5621345.000000009
2018-01-19,5621345.000000009
2018-01-22,5604496.250000009
2018-01-23,5598621.250000009
2018-01-24,5598506.250000009
2018-01-25,5699566.250000009
2018-01-29,5695010.000000009
2018-01-30,5841190.000000009
2018-01-31,5841190.000000009
2018-02-01,5841730.000000009
2018-02-02,5857150.000000009
2018-02-05,6039122.500000009
2018-02-06,6034915.000000009
2018-02-07,6025422.500000009
2018-02-08,6070272.500000008
2018-02-09,5939230.000000008
2018-02-12,5937375.000000008
2018-02-14,5911151.250000008
2018-02-15,5911151.250000008
2018-02-16,5783960.000000007
2018-02-19,5782112.500000007
2018-02-20,5782112.500000007
2018-02-21,5810908.7500000065
2018-02-22,5801425.0000000065
2018-02-23,5806842.5000000065
2018-02-26,5806842.5000000065
2018-02-27,5878672.5000000065
2018-02-28,5879572.500000007
2018-03-01,5840330.000000007
2018-03-05,5835355.000000007
2018-03-06,5832615.000000007
2018-03-07,5832615.000000007
2018-03-08,5901467.500000008
2018-03-09,5892777.500000008
2018-03-12,5824125.000000008
2018-03-13,5824125.000000008
2018-03-14,5912456.250000008
2018-03-15,5900206.250000008
2018-03-16,5691000.000000008
2018-03-19,5841757.500000008
2018-03-20,5822415.000000008
2018-03-21,5825485.000000008
2018-03-22,5799130.000000008
2018-03-23,5799130.000000008
2018-03-26,5805760.000000008
2018-03-27,5809772.500000008
2018-03-28,5754988.75000001
2018-04-02,5757441.25000001
2018-04-03,5761210.00000001
2018-04-04,5691607.50000001
2018-04-05,5691607.50000001
2018-04-06,5691607.50000001
2018-04-09,5691607.50000001
2018-04-10,5697390.00000001
2018-04-11,5697390.00000001
2018-04-12,5697390.00000001
2018-04-13,5697390.00000001
2018-04-16,5697390.00000001
2018-04-17,5697390.00000001
2018-04-18,5762731.25000001
2018-04-19,5823885.00000001
2018-04-20,5823885.00000001
2018-04-23,5821303.75000001
2018-04-24,5821303.75000001
2018-04-25,5854783.75000001
2018-04-26,5841790.00000001
2018-04-27,5841790.00000001
2018-04-30,5841790.00000001
2018-05-02,5881890.00000001
2018-05-03,5900818.75000001
2018-05-04,5899351.25000001
2018-05-07,5874523.75000001
2018-05-08,5874696.25000001
2018-05-09,5874696.25000001
2018-05-10,5875195.00000001
2018-05-11,5863951.25000001
2018-05-14,5863958.75000001
2018-05-15,5874342.50000001
2018-05-16,5884420.00000001
2018-05-17,5884420.00000001
2018-05-18,5882262.50000001
2018-05-21,5880270.00000001
2018-05-22,5912430.00000001
2018-05-23,5907112.50000001
2018-05-24,5947462.50000001
2018-05-25,5947462.50000001
2018-05-28,5964657.50000001
2018-05-29,6005128.750000009
2018-05-30,6005128.750000009
2018-05-31,5987130.000000009
2018-06-01,5972246.25000001
2018-06-04,5971646.25000001
2018-06-05,5971646.25000001
2018-06-06,5973090.00000001
2018-06-07,5973090.00000001
2018-06-08,6000065.00000001
2018-06-11,5997170.00000001
2018-06-12,5997170.00000001
2018-06-13,6010073.75000001
2018-06-14,6031282.500000009
2018-06-15,6036332.500000009
2018-06-18,6030531.250000009
2018-06-19,6028296.250000009
2018-06-20,6034786.250000009
2018-06-21,6016216.25000001
2018-06-22,6016216.25000001
2018-06-25,6011761.25000001
2018-06-26,6009438.75000001
2018-06-27,5942286.25000001
2018-06-28,5942286.25000001
2018-06-29,5941038.75000001
2018-07-02,5909688.75000001
2018-07-03,5909688.75000001
2018-07-04,5909688.75000001
2018-07-05,5917166.25000001
2018-07-06,5917166.25000001
2018-07-09,5917166.25000001
2018-07-10,5917166.25000001
2018-07-11,5917166.25000001
2018-07-12,5917166.25000001
2018-07-13,6104606.25000001
2018-07-16,6138595.00000001
2018-07-17,6131322.50000001
2018-07-18,6124422.50000001
2018-07-19,6125590.00000001
2018-07-20,6117625.00000001
2018-07-23,6120816.25000001
2018-07-24,6102111.25000001
