year,trades,wins,losses,pts,running
2015,6,4,2,226.3,226.3
2016,40,22,18,-587.9,-361.6
2017,35,23,12,97.5,-264.1
2018,39,21,18,-1676.2,-1940.3
2019,31,18,13,451.4,-1488.9
2020,51,34,17,2503.9,1015.0
2021,41,23,18,-2101.3,-1086.3
2022,46,29,17,835.5,-250.8
2023,37,28,9,1394.4,1143.6
2024,36,23,13,-699.7,443.9
2025,31,17,14,-144.6,299.3
2026,7,5,2,183.7,483.0
