year,trades,wins,losses,pts,running
2015,1,1,0,14.9,14.9
2016,25,9,16,-762.1,-747.2
2017,28,15,13,739.8,-7.4
2018,20,12,8,622.2,614.8
2019,26,9,17,-563.6,51.2
2020,21,8,13,1595.6,1646.8
2021,23,7,16,616.0,2262.8
2022,17,11,6,2804.4,5067.2
2023,22,12,10,2254.4,7321.6
2024,18,11,7,1994.4,9316.0
2025,22,11,11,1792.9,11108.9
2026,3,1,2,76.7,11185.6
