year,trades,wins,losses,pts,running
2015,9,3,6,227.6,227.6
2016,66,20,46,-240.2,-12.6
2017,65,26,39,1345.1,1332.5
2018,63,27,36,974.2,2306.7
2019,59,26,33,911.6,3218.3
2020,67,28,39,1044.1,4262.4
2021,69,24,45,775.1,5037.5
2022,61,36,25,7553.7,12591.2
2023,66,21,45,1751.2,14342.4
2024,63,26,37,3361.7,17704.1
2025,64,22,42,1526.5,19230.6
2026,13,1,12,-2155.5,17075.1
