year,trades,wins,losses,pts,running
2016,29,11,18,-550.9,-550.9
2017,46,22,24,463.3,-87.6
2018,30,11,19,49.7,-37.9
2019,41,23,18,267.4,229.5
2020,47,24,23,852.7,1082.2
2021,40,18,22,990.8,2073.0
2022,44,28,16,2902.2,4975.2
2023,44,20,24,657.1,5632.3
2024,37,17,20,233.2,5865.5
2025,45,21,24,1546.8,7412.3
2026,3,3,0,904.5,8316.8
