year,trades,wins,losses,pts,running
2016,10,2,8,-735.4,-735.4
2017,7,5,2,1386.2,650.8
2018,6,4,2,1096.0,1746.8
2019,7,3,4,98.3,1845.1
2020,9,4,5,315.8,2160.9
2021,8,4,4,1991.7,4152.6
2022,7,4,3,2042.3,6194.9
2023,5,2,3,485.3,6680.2
2024,9,2,7,1676.1,8356.3
2025,8,3,5,-930.1,7426.2
2026,1,0,1,-373.5,7052.7
