year,trades,wins,losses,pts,running
2015,4,1,3,1.5,1.5
2016,37,12,25,-378.1,-376.6
2017,54,27,27,544.1,167.5
2018,36,18,18,454.1,621.6
2019,41,17,24,162.4,784.0
2020,36,17,19,814.6,1598.6
2021,40,23,17,1409.5,3008.1
2022,30,19,11,2534.3,5542.4
2023,47,26,21,2148.4,7690.8
2024,34,13,21,541.0,8231.8
2025,38,18,20,1282.9,9514.7
2026,4,2,2,-50.0,9464.7
