year,trades,wins,losses,pts,running
2016,28,8,20,-831.2,-831.2
2017,40,17,23,-180.4,-1011.6
2018,37,13,24,-268.2,-1279.8
2019,43,11,32,-1860.7,-3140.5
2020,31,12,19,-1478.7,-4619.2
2021,32,18,14,2098.0,-2521.2
2022,16,6,10,-526.8,-3048.0
2023,47,14,33,-882.2,-3930.2
2024,21,6,15,-1441.5,-5371.7
2025,20,8,12,201.2,-5170.5
2026,4,1,3,-887.7,-6058.2
