year,trades,wins,losses,pts,running
2016,16,5,11,-568.3,-568.3
2017,24,9,15,-315.4,-883.7
2018,15,6,9,-82.5,-966.2
2019,22,14,8,963.0,-3.2
2020,27,14,13,-411.8,-415.0
2021,24,11,13,303.3,-111.7
2022,23,16,7,1963.7,1852.0
2023,24,12,12,52.1,1904.1
2024,22,9,13,1321.6,3225.7
2025,28,15,13,1569.0,4794.7
2026,3,3,0,636.9,5431.6
